topic_id,keywords,news_count,meme_score,label
0,"['borderlands', 'overwatch', 'game', 'like', 'twitch', 'playing', 'play', 'stream']",0,0.3629662990570068,NOISE (GAMING)
1,"['iran', 'police', 'after', 'mass', 'people', 'down', 'suicide', 'been']",50,0.4624404907226562,POSSIBLE EVENT
2,"['trump', 'bernie', 'about', 'donald', 'obama', 'clinton', 'president', 'house']",50,0.4605897665023803,POSSIBLE EVENT
3,"['amazon', 'shit', 'order', 'within', 'prime', 'apple', 'delivery', 'bezos']",50,0.4450206756591797,POSSIBLE EVENT
4,"['fire', 'fires', 'australia', 'smoke', 'burning', 'buildings', 'bush', 'arson']",50,0.4492508172988891,POSSIBLE EVENT
5,"['black', 'cold', 'call', 'duty', 'beta', 'game', 'like', 'really']",50,0.3793438374996185,REAL EVENT
6,"['amazon', 'chance', 'gift', 'card', 'play', 'video', 'another', 'free']",50,0.4303518533706665,POSSIBLE EVENT
7,"['xbox', 'series', 'more', 'going', 'wait', 'than', 'look', 'playstation']",0,0.3959629833698272,NOISE (GAMING)
8,"['perfect', 'shit', 'damn', 'good', 'about', 'perfection', 'there', 'trying']",50,0.3575315773487091,REAL EVENT
9,"['child', 'parents', 'mother', 'baby', 'year', 'grandma', 'kids', 'family']",50,0.7564456462860107,MEME
10,"['sirens', 'screaming', 'screamed', 'loud', 'like', 'panic', 'bang', 'panicking']",50,0.4252635240554809,POSSIBLE EVENT
11,"['storm', 'flood', 'dust', 'hurricane', 'snowstorm', 'rain', 'drought', 'weather']",50,0.4255487322807312,POSSIBLE EVENT
12,"['volcano', 'taal', 'eruption', 'emergency', 'philippines', 'services', 'batangas', 'ambulance']",16,0.389892429113388,POSSIBLE EVENT
13,"['like', 'amazon', 'food', 'barrel', 'monkeys', 'good', 'delicious', 'burger']",50,0.6575558185577393,MEME
14,"['women', 'people', 'woman', 'couple', 'wedding', 'girlfriend', 'about', 'girl']",50,0.7693332433700562,MEME
15,"['music', 'amazon', 'album', 'song', 'still', 'soon', 'neil', 'very']",50,0.4322934448719024,POSSIBLE EVENT
16,"['quarantined', 'quarantine', 'outbreak', 'thailand', 'bioterrorism', 'virus', 'woman', 'mystery']",50,0.4519984126091003,POSSIBLE EVENT
17,"['amazon', 'book', 'read', 'love', 'would', 'review', 'grab', 'good']",50,0.4399680197238922,POSSIBLE EVENT
18,"['amazon', 'prime', 'season', 'netflix', 'love', 'watching', 'show', 'good']",50,0.4301265776157379,POSSIBLE EVENT
19,"['drowning', 'drown', 'drowned', 'water', 'like', 'still', 'love', 'save']",50,0.4182045757770538,POSSIBLE EVENT
20,"['earthquake', 'puerto', 'rico', 'seismic', 'aftershock', 'another', 'magnitude', 'after']",50,0.430242657661438,POSSIBLE EVENT
21,"['collision', 'road', 'between', 'traffic', 'fatalities', 'lanes', 'there', 'lane']",50,0.4089385867118835,POSSIBLE EVENT
22,"['demolition', 'demolish', 'demolished', 'house', 'buildings', 'razed', 'construction', 'about']",50,0.3800259530544281,REAL EVENT
23,"['people', 'money', 'world', 'work', 'debt', 'market', 'economy', 'report']",50,0.5994651913642883,MEME
24,"['fear', 'love', 'feel', 'like', 'heart', 'reality', 'life', 'being']",50,0.4365971386432647,POSSIBLE EVENT
25,"['fuck', 'fucking', 'hell', 'lets', 'woah', 'thank', 'bloody', 'gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo']",50,0.3453559875488281,REAL EVENT
26,"['injury', 'hazard', 'injuries', 'injured', 'back', 'been', 'could', 'season']",50,0.3485651910305023,REAL EVENT
27,"['twitter', 'tweet', 'please', 'much', 'fuck', 'like', 'finally', 'found']",50,0.4015790522098541,POSSIBLE EVENT
28,"['train', 'derailment', 'hitchin', 'freight', 'derailed', 'morning', 'there', 'speed']",0,0.3904388546943664,NOISE
29,"['climate', 'change', 'more', 'emergency', 'could', 'global', 'world', 'warming']",50,0.6038349270820618,MEME
30,"['casting', 'film', 'trailer', 'amazing', 'wrong', 'love', 'would', 'lilith']",50,0.6532391309738159,MEME
31,"['rescuers', 'animals', 'rescue', 'rescued', 'please', 'dogs', 'still', 'home']",50,0.6451740264892578,MEME
32,"['nuclear', 'reactor', 'disaster', 'fukushima', 'after', 'years', 'power', 'nine']",50,0.4381009936332702,POSSIBLE EVENT
33,"['blood', 'bleeding', 'doctor', 'nose', 'more', 'after', 'please', 'would']",50,0.4529815018177032,POSSIBLE EVENT
34,"['body', 'bags', 'bagging', 'like', 'governor', 'buri', 'dead', 'know']",50,0.4679693877696991,POSSIBLE EVENT
