topic_id,keywords,news_count,meme_score,label
0,"['borderlands', 'overwatch', 'game', 'like', 'twitch', 'playing', 'play', 'stream']",0,0.3629662990570068,NOISE (GAMING)
1,"['iran', 'police', 'after', 'mass', 'people', 'down', 'suicide', 'been']",0,0.4624404907226562,NOISE
2,"['trump', 'bernie', 'about', 'donald', 'obama', 'clinton', 'president', 'house']",0,0.4605897665023803,NOISE
3,"['amazon', 'shit', 'order', 'within', 'prime', 'apple', 'delivery', 'bezos']",0,0.4450206756591797,NOISE
4,"['fire', 'fires', 'australia', 'smoke', 'burning', 'buildings', 'bush', 'arson']",0,0.4492508172988891,NOISE
5,"['black', 'cold', 'call', 'duty', 'beta', 'game', 'like', 'really']",0,0.3793438374996185,NOISE
6,"['amazon', 'chance', 'gift', 'card', 'play', 'video', 'another', 'free']",0,0.4303518533706665,NOISE
7,"['xbox', 'series', 'more', 'going', 'wait', 'than', 'look', 'playstation']",0,0.3959629833698272,NOISE (GAMING)
8,"['perfect', 'shit', 'damn', 'good', 'about', 'perfection', 'there', 'trying']",0,0.3575315773487091,NOISE
9,"['child', 'parents', 'mother', 'baby', 'year', 'grandma', 'kids', 'family']",0,0.7564456462860107,MEME
10,"['sirens', 'screaming', 'screamed', 'loud', 'like', 'panic', 'bang', 'panicking']",0,0.4252635240554809,NOISE
11,"['storm', 'flood', 'dust', 'hurricane', 'snowstorm', 'rain', 'drought', 'weather']",0,0.4255487322807312,NOISE
12,"['volcano', 'taal', 'eruption', 'emergency', 'philippines', 'services', 'batangas', 'ambulance']",0,0.389892429113388,NOISE
13,"['like', 'amazon', 'food', 'barrel', 'monkeys', 'good', 'delicious', 'burger']",0,0.6575558185577393,MEME
14,"['women', 'people', 'woman', 'couple', 'wedding', 'girlfriend', 'about', 'girl']",0,0.7693332433700562,MEME
15,"['music', 'amazon', 'album', 'song', 'still', 'soon', 'neil', 'very']",0,0.4322934448719024,NOISE
16,"['quarantined', 'quarantine', 'outbreak', 'thailand', 'bioterrorism', 'virus', 'woman', 'mystery']",0,0.4519984126091003,NOISE
17,"['amazon', 'book', 'read', 'love', 'would', 'review', 'grab', 'good']",0,0.4399680197238922,NOISE
18,"['amazon', 'prime', 'season', 'netflix', 'love', 'watching', 'show', 'good']",0,0.4301265776157379,NOISE
19,"['drowning', 'drown', 'drowned', 'water', 'like', 'still', 'love', 'save']",0,0.4182045757770538,NOISE
20,"['earthquake', 'puerto', 'rico', 'seismic', 'aftershock', 'another', 'magnitude', 'after']",0,0.430242657661438,NOISE
21,"['collision', 'road', 'between', 'traffic', 'fatalities', 'lanes', 'there', 'lane']",0,0.4089385867118835,NOISE
22,"['demolition', 'demolish', 'demolished', 'house', 'buildings', 'razed', 'construction', 'about']",0,0.3800259530544281,NOISE
23,"['people', 'money', 'world', 'work', 'debt', 'market', 'economy', 'report']",0,0.5994651913642883,MEME
24,"['fear', 'love', 'feel', 'like', 'heart', 'reality', 'life', 'being']",0,0.4365971386432647,NOISE
25,"['fuck', 'fucking', 'hell', 'lets', 'woah', 'thank', 'bloody', 'gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo']",0,0.3453559875488281,NOISE
26,"['injury', 'hazard', 'injuries', 'injured', 'back', 'been', 'could', 'season']",0,0.3485651910305023,NOISE
27,"['twitter', 'tweet', 'please', 'much', 'fuck', 'like', 'finally', 'found']",0,0.4015790522098541,NOISE
28,"['train', 'derailment', 'hitchin', 'freight', 'derailed', 'morning', 'there', 'speed']",0,0.3904388546943664,NOISE
29,"['climate', 'change', 'more', 'emergency', 'could', 'global', 'world', 'warming']",0,0.6038349270820618,MEME
30,"['casting', 'film', 'trailer', 'amazing', 'wrong', 'love', 'would', 'lilith']",0,0.6532391309738159,MEME
31,"['rescuers', 'animals', 'rescue', 'rescued', 'please', 'dogs', 'still', 'home']",0,0.6451740264892578,MEME
32,"['nuclear', 'reactor', 'disaster', 'fukushima', 'after', 'years', 'power', 'nine']",0,0.4381009936332702,NOISE
33,"['blood', 'bleeding', 'doctor', 'nose', 'more', 'after', 'please', 'would']",0,0.4529815018177032,NOISE
34,"['body', 'bags', 'bagging', 'like', 'governor', 'buri', 'dead', 'know']",0,0.4679693877696991,NOISE
35,"['taehyung', 'yoongi', 'jungkook', 'want', 'shit', 'yuri', 'english', 'scary']",0,0.4027884602546692,NOISE
36,"['white', 'black', 'racism', 'anti', 'racist', 'people', 'call', 'being']",0,0.7255855798721313,MEME
37,"['sinkhole', 'china', 'swallows', 'dead', 'least', 'after', 'killed', 'people']",0,0.5047977566719055,NOISE
38,"['life', 'them', 'hellfire', 'here', 'shall', 'those', 'fear', 'protect']",0,0.5690808892250061,MEME
39,"['electrocute', 'like', 'electric', 'wind', 'turbines', 'chop', 'wires', 'millions']",0,0.4115521907806396,NOISE
40,"['coffee', 'life', 'there', 'wine', 'drunk', 'drink', 'love', 'coke']",0,0.6170042753219604,MEME
41,"['obliterate', 'damage', 'devastation', 'destroy', 'peak', 'obliterated', 'them', 'anyone']",0,0.3833659589290619,NOISE
42,"['refugees', 'displaced', 'children', 'refugee', 'country', 'citizenship', 'people', 'child']",0,0.6178414821624756,MEME
43,"['fuck', 'perks', 'such', 'pain', 'shit', 'burn', 'again', 'been']",0,0.3495426177978515,NOISE
44,"['excited', 'brother', 'happy', 'about', 'finally', 'squad', 'great', 'believe']",0,0.3731923401355743,NOISE
45,"['awesome', 'sure', 'enter', 'miss', 'stuck', 'home', 'down', 'completed']",0,0.3881114721298218,NOISE
46,"['hyped', 'movie', 'shit', 'fucking', 'everyone', 'guys', 'would', 'watch']",0,0.4157850742340088,NOISE
47,"['hijacker', 'account', 'hijacking', 'hijack', 'email', 'cable', 'tesla', 'hacking']",0,0.4269568920135498,NOISE
48,"['stretcher', 'like', 'stretch', 'carried', 'after', 'section', 'need', 'love']",0,0.4244572818279266,NOISE
49,"['amazon', 'masks', 'about', 'face', 'take', 'mask', 'find', 'over']",0,0.4403963685035705,NOISE
