tweet_id,tweet_text,timestamp,event,rumour_type
580320995266936832,#BREAKING: A Germanwings Airbus A320 has crashed in French Alps near Digne (@AhronYoung),Tue Mar 24 10:51:21 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580697361799876608,"BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.",Wed Mar 25 11:46:54 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580320329203093504,#A320 @Germanwings flight #4U9525 (registration D-AIPX) was lost from @Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/5Gv9lXJZW8,Tue Mar 24 10:48:42 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581357303405813760,#Germanwings co-pilot suffered serious depression 6 years ago: German newspaper http://t.co/LXDzBdNdMB http://t.co/yTUNdHyEJY,Fri Mar 27 07:29:16 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580329886532968448,"Passenger plane carrying 148 people crashes in the French Alps en route from Spain to Germany.
#Germanwings",Tue Mar 24 11:26:41 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580338165824667649,#WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within three minutes. http://t.co/ywO1t8O4XI,Tue Mar 24 11:59:35 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581063957684850688,#BREAKING #GERMANWINGS co-pilot confirmed name at Press Conference: FirstName: Andreas Guenter / LastName: Lubitz,Thu Mar 26 12:03:37 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580347961256837120,"#BREAKING: Death toll on #Germanwings flight #4U9525 rises to 150 #A320
http://t.co/NK5U1GpHxL",Tue Mar 24 12:38:30 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580333904126742528,148 people feared dead after Germanwings Airbus crash in France: http://t.co/uuK7F3uSVP http://t.co/Y7e55cwW7B,Tue Mar 24 11:42:39 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580372127125131264,#Germanwings says it cannot confirm that a very brief distress signal was made before flight #4U9525 crashed http://t.co/Pbr82b0Eul,Tue Mar 24 14:14:32 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581295858898989056,"Converts are DISTURBED!!
Co-Pilot of #GermanWings Airbus Was a Muslim convert.
""Hero of Islamic State""
http://t.co/jBoJb6rfor #WhiteMuslims",Fri Mar 27 03:25:07 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580348878370828288,"BREAKING Authorities confirm last words from #germanwings #4U9525 A320 distress call were ""emergency, emergency"" http://t.co/wFg8KTSve2",Tue Mar 24 12:42:09 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580330369603366913,VIDEO -  BREAKING NEWS - Germanwings Airbus crashes in the French Alps with 148 onboard http://t.co/C2fJV2Uapu http://t.co/y0RoEPBMqM,Tue Mar 24 11:28:36 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580320161082830848,"#breaking Airbus A320 crashes in southern France with 148 people on board 
#Germanwings http://t.co/suRCtXRGsU",Tue Mar 24 10:48:02 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580321372703985664,MORE: Airbus #A320 was lost from Flightradar24 at 6800 feet at 09.39 UTC time #GermanWings http://t.co/WKhAjiH6pQ http://t.co/n4vTej13ff,Tue Mar 24 10:52:51 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581300992194572288,"MUSLIM CONVERT? A German news website, http://t.co/sZQQ0pKwM1 claims Andreas Lubitz was a Muslim convert http://t.co/nX2CXzgiJr",Fri Mar 27 03:45:31 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581107798932631552,schoolmates of co-pilot who crashed #4U9525 tell german reporters he took 6-months break from flight training in 2009 due to burnout-syndrom,Thu Mar 26 14:57:50 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581287108607811584,BREAKING GERMAN NEWS: Germanwings Airbus Co-Pilot Was MUSLIM CONVERT http://t.co/oRtt0ab4YA via @gatewaypundit,Fri Mar 27 02:50:21 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581301336085553152,"All evidence indicates copilot of Airbus machine in his 6-months break during his training as a pilot in Germanwings, converted to Islam",Fri Mar 27 03:46:53 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580320856561209344,BREAKING: Lufthansa's Germanwings plane crashes in southern France -- Report,Tue Mar 24 10:50:48 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581153923987206146,"Germanwings co-pilot battled depression in '09, friends say. http://t.co/srhDPf4Zn5 http://t.co/I3Zd1RyNud",Thu Mar 26 18:01:07 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,Tue Mar 24 10:37:41 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581299253743501312,The co-pilot of the Germanwings Airbus was a convert to Islam http://t.co/Q7yHJ4Ne2d,Fri Mar 27 03:38:36 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580326222107951104,"Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France http://t.co/K7fmJLRt4G",Tue Mar 24 11:12:07 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580371845997682688,"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.",Tue Mar 24 14:13:25 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581394092648710144,#BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/9AsVPxukV8,Fri Mar 27 09:55:28 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581460720900050945,#Germanwings #CoPilot was a recent Muslim convert as well as a psychiatric patient. #ISIS is lauding him as a hero. http://t.co/J29Y3tDjOP,Fri Mar 27 14:20:13 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580357537083576321,"#4U9525 - The Airbus 320 plunged at a rate of 5,000 feet per minute before crashing.  - @PollyR_Aviation",Tue Mar 24 13:16:34 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581063377226637312,#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.,Thu Mar 26 12:01:19 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580882121222434816,Recovered black box shows a pilot was locked out of the Germanwings cockpit before the crash http://t.co/ac6AdA5NKL http://t.co/bxgMNjEGeW,Thu Mar 26 00:01:04 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580347361039413248,Airline #Germanwings says 144 passengers and six crew were on board the plane which crashed near #Digne,Tue Mar 24 12:36:07 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580321844089212928,"BREAKING: Airbus A320 with 142 passengers and 6 crew members crashes in #Digne, France #4U9525 http://t.co/XTMaa9mAV2 http://t.co/ADAEpPZdMY",Tue Mar 24 10:54:44 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580339825649291264,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr,Tue Mar 24 12:06:11 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580321925265788928,"MORE Airbus A320 that crashed in southern France operated by Germanwings, carrying 142 passengers, 2 pilots, 4 crew http://t.co/XwKPmofTD9",Tue Mar 24 10:55:03 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580327692765151232,"Germanwings crash plane 'lost signal at 6,800 feet', flight radar shows http://t.co/AjQxaENYSb http://t.co/cgU1GqKYqK",Tue Mar 24 11:17:58 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580330721719508992,"A Germanwings Airbus A320, flight #4U9525 BCN-DUS, crashed in southern France; 148 on board http://t.co/tUtpc26daX",Tue Mar 24 11:30:00 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580706841769820160,At least 72 Germans and 35 Spanish killed in #Germanwings crash: Airline http://t.co/JeigmQOTna http://t.co/HrECGvkUuV,Wed Mar 25 12:24:34 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581064144394285056,French prosecutor names co-pilot of #germanwings plane that crashed in the Alps as Andreas Lubitz. He was at controls of plane.,Thu Mar 26 12:04:22 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580346392431968257,"Last words from #Germanwings A320 distress call were ""emergency, emergency,"" authorities say. http://t.co/FXVBrA7RPz http://t.co/OxfPISsdvj",Tue Mar 24 12:32:16 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580322346508124160,"Germanwings #A320 plane crashes in southern France, French prime minister says. More soon. http://t.co/k6pv4OsCQI",Tue Mar 24 10:56:43 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580321317527879680,Germanwings Airbus A320 en route from Barcleona to Dusseldorf crashes in southern French Alps - 148 people on board http://t.co/dqXZQFlg9U,Tue Mar 24 10:52:38 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580326012749221890,All passengers and crew feared dead after A320 plane crashes in southern France  http://t.co/H3YACXHTjK #4U9525 More to follow.,Tue Mar 24 11:11:18 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580322066374721537,German Wings Airbus A320 #4U9525 lost from @Flightradar24 at 6800 ft at 09.39 UTC time UPDATES http://t.co/XTMaa9mAV2 http://t.co/VwZmbhcUsn,Tue Mar 24 10:55:37 +0000 2015,germanwings-crash-all-rnr-threads,rumours
580332485030125568,#Breaking: A plane carrying at least 142 people crashes in  France. French PM says unlikely anyone on the #Germanwings  jetliner survived,Tue Mar 24 11:37:01 +0000 2015,germanwings-crash-all-rnr-threads,rumours
581066887200694272,"Andreas Lubitz, co-pilot who brought down #Germanwings flight intentionally, recently commended by the FAA: http://t.co/8dAYQ8vAKF",Thu Mar 26 12:15:16 +0000 2015,germanwings-crash-all-rnr-threads,rumours
